10,51,unemployed,married,basic.6y,no,yes,no,cellular,jun,thu,262,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
24,38,entrepreneur,married,basic.4y,no,no,no,telephone,oct,fri,227,1,999,0,nonexistent,-0.1,93.798,-40.4,4.76,5195.8,yes
27,31,services,single,basic.6y,no,yes,no,cellular,may,wed,734,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,yes
30,37,management,married,high.school,no,yes,no,cellular,aug,thu,633,1,999,0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6,yes
35,32,admin.,single,university.degree,no,no,no,telephone,may,fri,588,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
44,60,retired,married,basic.4y,no,no,no,cellular,oct,mon,98,1,999,0,nonexistent,-3.4,92.431,-26.9,0.739,5017.5,yes
57,33,blue-collar,married,basic.6y,no,yes,no,cellular,apr,wed,351,3,999,0,nonexistent,-1.8,93.075,-47.1,1.498,5099.1,yes
60,30,entrepreneur,married,university.degree,no,no,no,cellular,may,wed,585,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,yes
63,31,entrepreneur,single,basic.9y,no,no,no,telephone,jun,mon,1248,3,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,yes
70,32,self-employed,single,university.degree,no,no,no,cellular,apr,thu,394,1,999,0,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,yes
81,44,services,divorced,high.school,no,yes,yes,cellular,apr,tue,895,1,999,0,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,yes
94,38,management,married,basic.9y,unknown,no,no,telephone,may,fri,772,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,yes
115,86,retired,married,professional.course,no,no,no,telephone,dec,wed,343,2,999,0,nonexistent,-3,92.713,-33,0.715,5023.5,yes
125,50,technician,married,professional.course,unknown,yes,yes,telephone,jun,fri,705,7,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes
147,42,blue-collar,married,basic.6y,no,yes,no,telephone,jun,mon,1036,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,yes
159,25,blue-collar,single,basic.9y,no,no,yes,cellular,jul,fri,667,1,999,0,nonexistent,-1.7,94.215,-40.3,0.79,4991.6,yes
169,79,retired,married,basic.4y,no,no,yes,cellular,jul,fri,464,1,999,1,failure,-1.7,94.215,-40.3,0.822,4991.6,yes
195,36,admin.,unknown,university.degree,no,yes,no,cellular,aug,wed,529,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
201,67,retired,married,basic.6y,no,no,no,cellular,aug,tue,460,2,999,0,nonexistent,-2.9,92.201,-31.4,0.859,5076.2,yes
233,32,admin.,married,university.degree,no,yes,no,cellular,jun,tue,712,1,3,2,failure,-2.9,92.963,-40.8,1.262,5076.2,yes
237,31,technician,single,university.degree,no,no,no,telephone,jul,thu,270,1,5,1,success,-1.7,94.215,-40.3,0.899,4991.6,yes
243,30,admin.,single,university.degree,no,no,no,cellular,apr,thu,368,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
245,40,admin.,single,high.school,no,yes,no,cellular,jun,tue,145,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes
248,31,admin.,single,university.degree,no,yes,no,cellular,may,mon,434,4,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,yes
249,59,retired,married,professional.course,no,yes,yes,cellular,jun,mon,1460,1,999,0,nonexistent,-2.9,92.963,-40.8,1.266,5076.2,yes
252,39,admin.,married,high.school,no,yes,no,cellular,may,mon,301,3,3,1,success,-1.8,92.893,-46.2,1.354,5099.1,yes
255,27,admin.,single,university.degree,no,yes,no,cellular,may,fri,431,1,999,0,nonexistent,-1.8,92.893,-46.2,1.259,5099.1,yes
266,31,blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,tue,1051,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,yes
278,20,student,single,unknown,no,yes,no,cellular,apr,wed,184,4,999,0,nonexistent,-1.8,93.075,-47.1,1.498,5099.1,yes
283,60,retired,married,university.degree,no,no,no,cellular,aug,wed,576,1,999,0,nonexistent,-2.9,92.201,-31.4,0.879,5076.2,yes
287,56,technician,married,professional.course,no,yes,no,telephone,may,mon,483,5,999,0,nonexistent,-1.8,93.876,-40,0.682,5008.7,yes
303,26,technician,single,professional.course,no,no,yes,cellular,nov,wed,358,1,9,2,failure,-3.4,92.649,-30.1,0.719,5017.5,yes
305,36,technician,married,high.school,no,yes,yes,cellular,may,fri,659,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,yes
307,33,admin.,married,university.degree,no,yes,no,cellular,mar,wed,235,3,4,1,success,-1.8,93.369,-34.8,0.655,5008.7,yes
335,42,services,married,high.school,no,yes,no,cellular,apr,thu,501,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
368,36,admin.,single,basic.9y,no,yes,no,cellular,may,tue,458,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,yes
393,35,admin.,married,university.degree,no,yes,no,cellular,aug,wed,768,2,999,2,failure,-2.9,92.201,-31.4,0.854,5076.2,yes
395,52,technician,married,professional.course,no,yes,no,cellular,nov,fri,495,1,3,1,success,-3.4,92.649,-30.1,0.714,5017.5,yes
396,44,admin.,single,university.degree,no,no,no,cellular,jun,tue,924,2,4,1,success,-2.9,92.963,-40.8,1.262,5076.2,yes
397,26,self-employed,married,university.degree,no,no,no,cellular,may,wed,367,2,999,0,nonexistent,-1.8,92.893,-46.2,1.27,5099.1,yes
404,29,blue-collar,single,high.school,no,yes,no,telephone,may,fri,803,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,yes
408,53,housemaid,married,university.degree,no,yes,no,cellular,apr,thu,494,1,6,1,success,-1.8,93.749,-34.6,0.644,5008.7,yes
416,53,blue-collar,married,basic.6y,no,yes,no,cellular,jun,thu,328,2,3,1,success,-2.9,92.963,-40.8,1.26,5076.2,yes
419,27,admin.,married,university.degree,no,yes,no,cellular,jul,fri,494,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,yes
423,49,housemaid,married,basic.4y,unknown,no,yes,telephone,may,wed,801,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,yes
424,26,admin.,married,basic.9y,no,no,no,cellular,jul,tue,878,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes
426,31,technician,single,university.degree,no,yes,no,telephone,apr,tue,847,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
439,52,admin.,married,university.degree,no,yes,no,cellular,may,tue,556,2,999,0,nonexistent,-1.8,93.876,-40,0.668,5008.7,yes
446,30,technician,married,university.degree,no,yes,no,telephone,may,tue,683,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,yes
451,27,admin.,single,university.degree,no,yes,no,cellular,mar,tue,359,1,999,1,failure,-1.8,93.369,-34.8,0.635,5008.7,yes
455,24,admin.,married,basic.9y,no,yes,no,cellular,may,wed,302,1,10,1,success,-1.8,92.893,-46.2,1.281,5099.1,yes
